Long_Name,Primary_Category,Zip,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Overall_Rating,Rating_Status,School_Latitude,School_Longitude,Location,Year
Peter A Reinberg Elementary School,ES,60634,745,502,187,329,29,568,111,23,5,0,0,7,0,2,Level 1,GOOD STANDING,41.943019,-87.768983,POINT (-87.768983 41.943019),2023
Emiliano Zapata Elementary Academy,ES,60623,520,418,97,300,0,518,2,0,0,0,0,0,0,0,Level 1+,GOOD STANDING,41.841394,-87.734313,POINT (-87.734313 41.841394),2023
Joseph Brennemann Elementary School,ES,60613,447,307,99,183,237,118,30,18,4,0,0,13,0,27,Level 1,GOOD STANDING,41.959984,-87.649749,POINT (-87.649749 41.959984),2023
Kelvyn Park High School,HS,60639,491,411,110,218,43,429,13,0,2,0,0,3,1,0,Level 2,INTENSIVE SUPPORT,41.927918,-87.735999,POINT (-87.735999 41.927918),2023
James Russell Lowell Elementary School,ES,60651,308,249,102,110,78,216,5,0,0,0,0,9,0,0,Level 1,GOOD STANDING,41.90652,-87.710217,POINT (-87.710217 41.90652),2023
Wells Community Academy High School,HS,60622,310,214,76,76,145,111,47,1,0,0,0,6,0,0,Level 2,PROVISIONAL SUPPORT,41.898995,-87.667483,POINT (-87.667483 41.898995),2023
Emmett Louis Till Math and Science Academy,ES,60637,317,257,50,0,303,13,0,0,0,0,0,1,0,0,Level 1+,GOOD STANDING,41.775424,-87.609357,POINT (-87.609357 41.775424),2023
Marie Sklodowska Curie Metropolitan High School,HS,60632,2903,2512,307,666,290,2507,32,62,9,0,0,1,2,0,Level 2+,GOOD STANDING,41.80306,-87.722042,POINT (-87.722042 41.80306),2023
Perspectives - Rodney D. Joslin,HS,60616,365,302,78,3,347,9,2,4,1,0,0,2,0,0,Level 2+,NOT APPLICABLE,41.855999,-87.628531,POINT (-87.628531 41.855999),2023
Annie Keller Regional Gifted Center,ES,60655,213,65,8,14,63,30,30,79,0,0,0,11,0,0,Level 1+,GOOD STANDING,41.69717,-87.697278,POINT (-87.697278 41.69717),2023
KIPP Ascend Charter School,ES,60623,905,770,107,10,849,48,1,0,2,0,0,5,0,0,Level 1,NOT APPLICABLE,41.85837,-87.721071,POINT (-87.721071 41.85837),2023
George W Curtis Elementary School,ES,60628,376,295,42,5,351,19,3,0,1,0,0,1,0,1,Level 2,INTENSIVE SUPPORT,41.685418,-87.621653,POINT (-87.621653 41.685418),2023
Gerald Delgado Kanoon Elementary Magnet School,ES,60623,418,356,53,212,4,414,0,0,0,0,0,0,0,0,Level 1,GOOD STANDING,41.850771,-87.705112,POINT (-87.705112 41.850771),2023
Virgil Grissom Elementary School,ES,60633,302,210,40,80,41,232,27,1,0,0,0,1,0,0,Level 1,GOOD STANDING,41.662481,-87.553307,POINT (-87.553307 41.662481),2023
Lenart Elementary Regional Gifted Center,ES,60620,290,74,6,3,182,14,40,43,0,0,0,11,0,0,Level 1+,GOOD STANDING,41.747186,-87.62804,POINT (-87.62804 41.747186),2023
Oriole Park Elementary School,ES,60656,597,117,63,53,10,168,357,43,2,0,0,16,1,0,Level 1+,GOOD STANDING,41.978501,-87.812054,POINT (-87.812054 41.978501),2023
North Lawndale College Prep - Christiana,HS,60623,313,283,73,2,308,4,0,0,0,0,0,1,0,0,Level 2,NOT APPLICABLE,41.858564,-87.708987,POINT (-87.708987 41.858564),2023
Percy L Julian High School,HS,60643,426,357,118,1,411,9,1,0,2,0,0,1,1,1,Level 2,INTENSIVE SUPPORT,41.705859,-87.653749,POINT (-87.653749 41.705859),2023
L.E.A.R.N. - Romano Butler Campus,ES,60624,512,428,36,0,483,9,0,0,0,0,0,0,0,20,Level 2,NOT APPLICABLE,41.867273,-87.710679,POINT (-87.710679 41.867273),2023
Ombudsman Chicago - Roseland HS,HS,60628,161,119,32,4,153,7,0,0,0,0,0,1,0,0,Inability to Rate,GOOD STANDING,41.695105,-87.642816,POINT (-87.642816 41.695105),2023
Grover Cleveland Elementary School,ES,60618,470,314,148,203,15,369,50,19,4,0,0,13,0,0,Level 1,GOOD STANDING,41.952042,-87.706443,POINT (-87.706443 41.952042),2023
Josephine C Locke Elementary School,ES,60634,1148,868,193,469,43,959,119,14,0,0,0,7,5,1,Level 1,GOOD STANDING,41.931762,-87.795604,POINT (-87.795604 41.931762),2023
Acero Charter Schools - Bartolomé de las Casas,ES,60608,242,196,47,145,4,237,0,1,0,0,0,0,0,0,Level 1,NOT APPLICABLE,41.859504,-87.667949,POINT (-87.667949 41.859504),2023
CICS - West Belden,ES,60639,543,439,64,263,40,494,4,1,0,0,0,4,0,0,Level 1+,NOT APPLICABLE,41.921687,-87.776749,POINT (-87.776749 41.921687),2023
Mary E McDowell Elementary School,ES,60619,118,89,12,1,115,2,0,0,0,0,0,1,0,0,Level 1,GOOD STANDING,41.733132,-87.589589,POINT (-87.589589 41.733132),2023
Whitney M Young Magnet High School,HS,60607,2149,779,191,41,368,613,541,520,7,0,0,82,18,0,Level 1+,GOOD STANDING,41.878603,-87.664233,POINT (-87.664233 41.878603),2023
Maria Saucedo Elementary Scholastic Academy,ES,60623,883,706,151,360,45,832,3,0,2,0,0,1,0,0,Level 1,GOOD STANDING,41.847941,-87.697316,POINT (-87.697316 41.847941),2023
George B Swift Elementary Specialty School,ES,60660,547,363,104,290,135,154,91,149,2,0,0,16,0,0,Level 2+,GOOD STANDING,41.989139,-87.658296,POINT (-87.658296 41.989139),2023
Chicago Collegiate Charter School,HS,60628,247,215,44,1,241,4,1,0,1,0,0,0,0,0,Level 2,NOT APPLICABLE,41.679318,-87.617968,POINT (-87.617968 41.679318),2023
Durkin Park Elementary School,ES,60652,671,484,107,240,78,560,23,0,1,0,0,7,2,0,Level 2+,GOOD STANDING,41.738844,-87.729955,POINT (-87.729955 41.738844),2023
Sir Miles Davis Magnet Elementary Academy,ES,60636,128,90,27,12,108,19,0,0,0,0,0,1,0,0,Level 1,GOOD STANDING,41.771221,-87.66653,POINT (-87.66653 41.771221),2023
Consuella B York Alternative HS,HS,60608,184,123,70,3,139,43,1,0,0,0,0,1,0,0,Inability to Rate,GOOD STANDING,41.842533,-87.695261,POINT (-87.695261 41.842533),2023
Woodlawn Community Elementary School,ES,60637,186,124,12,0,186,0,0,0,0,0,0,0,0,0,Level 1,GOOD STANDING,41.773366,-87.594392,POINT (-87.594392 41.773366),2023
Agustin Lara Elementary Academy,ES,60609,320,260,57,185,20,294,2,1,0,0,0,3,0,0,Level 1,GOOD STANDING,41.80977,-87.672182,POINT (-87.672182 41.80977),2023
Phillip D Armour Elementary School,ES,60608,246,180,35,63,30,173,23,10,1,0,0,8,1,0,Level 1,GOOD STANDING,41.833854,-87.650653,POINT (-87.650653 41.833854),2023
Chicago Academy Elementary School,ES,60634,565,386,95,199,18,416,104,15,1,0,0,9,2,0,Level 1+,GOOD STANDING,41.943056,-87.778187,POINT (-87.778187 41.943056),2023
Edgar Allan Poe Elementary Classical School,ES,60628,227,79,9,0,191,17,8,0,0,0,0,10,1,0,Level 1+,GOOD STANDING,41.70263,-87.606419,POINT (-87.606419 41.70263),2023
Albert G Lane Technical High School,HS,60618,4476,1582,334,89,290,1550,1715,480,21,0,1,146,31,242,Level 1+,GOOD STANDING,41.946645,-87.691013,POINT (-87.691013 41.946645),2023
Ronald E McNair Elementary School,ES,60651,355,298,82,36,281,64,3,3,0,0,0,4,0,0,Level 2+,GOOD STANDING,41.897819,-87.746731,POINT (-87.746731 41.897819),2023
Back of the Yards IB HS,HS,60609,1005,920,94,297,17,961,5,17,5,0,0,0,0,0,Level 1,GOOD STANDING,41.808413,-87.677541,POINT (-87.677541 41.808413),2023
Chicago Virtual Charter School,HS,60607,3,0,0,0,3,0,0,0,0,0,0,0,0,0,Level 2,NOT APPLICABLE,41.88055,-87.649772,POINT (-87.649772 41.88055),2023
John B Murphy Elementary School,ES,60618,493,241,89,161,22,289,154,11,2,0,0,13,1,1,Level 1,GOOD STANDING,41.950078,-87.716832,POINT (-87.716832 41.950078),2023
Providence Englewood Charter School,ES,60636,423,322,39,4,404,12,2,0,0,0,0,0,1,4,Level 2+,NOT APPLICABLE,41.775367,-87.663996,POINT (-87.663996 41.775367),2023
YCCS-Olive Harvey Middle College HS,HS,60628,83,59,9,5,64,17,1,1,0,0,0,0,0,0,Level 2,NOT APPLICABLE,41.712922,-87.592333,POINT (-87.592333 41.712922),2023
Robert Lindblom Math & Science Academy HS,HS,60636,1390,727,78,28,964,364,39,7,2,0,0,13,1,0,Level 1+,GOOD STANDING,41.782041,-87.671662,POINT (-87.671662 41.782041),2023
Charles W Earle Elementary School,ES,60636,247,196,42,30,209,35,1,0,0,0,0,2,0,0,Level 1+,PROVISIONAL SUPPORT,41.781225,-87.675547,POINT (-87.675547 41.781225),2023
Daniel C Beard Elementary School,ES,60656,316,80,154,127,22,143,108,31,0,0,0,10,2,0,Inability to Rate,GOOD STANDING,41.970125,-87.78963,POINT (-87.78963 41.970125),2023
Nathanael Greene Elementary School,ES,60609,303,235,49,154,8,263,11,18,0,0,0,2,1,0,Level 1,GOOD STANDING,41.829669,-87.671492,POINT (-87.671492 41.829669),2023
Thomas Kelly College Preparatory,HS,60632,1716,1581,307,649,56,1424,25,198,2,0,0,4,2,5,Level 2+,GOOD STANDING,41.818729,-87.694639,POINT (-87.694639 41.818729),2023
Lawndale Elementary Community Academy,ES,60623,224,187,34,1,217,5,2,0,0,0,0,0,0,0,Level 2,INTENSIVE SUPPORT,41.86296,-87.712957,POINT (-87.712957 41.86296),2023
Edward A Bouchet Math & Science Academy ES,ES,60649,597,462,81,5,573,16,2,0,2,0,0,1,0,3,Level 2+,GOOD STANDING,41.760847,-87.576075,POINT (-87.576075 41.760847),2023
Edgebrook Elementary School,ES,60646,455,58,60,42,5,89,262,57,0,0,0,42,0,0,Level 1+,GOOD STANDING,41.999437,-87.76184,POINT (-87.76184 41.999437),2023
Washington Irving Elementary School,ES,60612,292,204,47,18,237,34,14,3,1,0,0,3,0,0,Level 2+,GOOD STANDING,41.871595,-87.683616,POINT (-87.683616 41.871595),2023
Urban Prep Academy for Young Men - Englewood,HS,60621,155,138,39,2,151,2,2,0,0,0,0,0,0,0,Level 2,NOT APPLICABLE,41.781498,-87.634357,POINT (-87.634357 41.781498),2023
Frank L Gillespie Elementary School,ES,60619,392,293,80,2,378,13,1,0,0,0,0,0,0,0,Level 2,PROVISIONAL SUPPORT,41.725332,-87.623719,POINT (-87.623719 41.725332),2023
Noble - DRW College Prep,HS,60624,347,303,84,2,341,5,1,0,0,0,0,0,0,0,Level 2,NOT APPLICABLE,41.869328,-87.711654,POINT (-87.711654 41.869328),2023
Christopher Columbus Elementary School,ES,60622,292,110,11,146,28,66,187,6,0,0,0,5,0,0,Level 1,GOOD STANDING,41.899566,-87.681938,POINT (-87.681938 41.899566),2023
Namaste Charter School,ES,60609,409,302,92,220,12,364,25,1,0,0,0,7,0,0,Level 2,NOT APPLICABLE,41.8257,-87.667724,POINT (-87.667724 41.8257),2023
James G Blaine Elementary School,ES,60613,631,65,86,25,17,97,420,39,0,0,0,56,2,0,Level 1+,GOOD STANDING,41.950781,-87.664968,POINT (-87.664968 41.950781),2023
Cesar E Chavez Multicultural Academic Center ES,ES,60609,814,693,87,374,13,795,2,1,3,0,0,0,0,0,Level 1,GOOD STANDING,41.807143,-87.666037,POINT (-87.666037 41.807143),2023
Theophilus Schmid Elementary School,ES,60628,176,132,30,1,168,7,1,0,0,0,0,0,0,0,Level 1,GOOD STANDING,41.716989,-87.596932,POINT (-87.596932 41.716989),2023
Carl Schurz High School,HS,60641,1279,1095,285,430,117,1066,49,27,9,0,0,9,2,0,Level 2,INTENSIVE SUPPORT,41.946365,-87.735612,POINT (-87.735612 41.946365),2023
Spry Community Links High School,HS,60623,75,68,21,38,0,74,0,0,1,0,0,0,0,0,Level 2,PROVISIONAL SUPPORT,41.847762,-87.698946,POINT (-87.698946 41.847762),2023
Francis W Parker Elementary Community Academy,ES,60621,354,282,36,1,349,4,0,0,0,0,0,1,0,0,Level 2,PROVISIONAL SUPPORT,41.77078,-87.634086,POINT (-87.634086 41.77078),2023
Alexander Graham Elementary School,ES,60609,327,259,42,78,85,153,87,1,0,0,0,1,0,0,Level 2+,GOOD STANDING,41.813304,-87.643344,POINT (-87.643344 41.813304),2023
Lazaro Cardenas Elementary School,ES,60623,819,688,153,326,26,784,6,1,0,0,0,2,0,0,Level 1,GOOD STANDING,41.848488,-87.716017,POINT (-87.716017 41.848488),2023
