Long_Name,Primary_Category,Zip,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Overall_Rating,Rating_Status,School_Latitude,School_Longitude,Location,Year
Legal Prep Charter Academy,HS,60624,242,213,47,1,236,5,0,0,0,0,0,1,0,0,Level 2,NOT APPLICABLE,41.881733,-87.733778,POINT (-87.733778 41.881733),2023
Crown Community Academy of Fine Arts Center ES,ES,60623,118,101,15,4,106,11,0,0,0,0,0,1,0,0,Level 2+,PROVISIONAL SUPPORT,41.852663,-87.71247,POINT (-87.71247 41.852663),2023
Franklin Elementary Fine Arts Center,ES,60610,367,151,32,10,191,50,94,15,0,0,0,17,0,0,Level 1+,GOOD STANDING,41.9066,-87.635513,POINT (-87.635513 41.9066),2023
Edward K Ellington Elementary School,ES,60644,440,328,82,6,424,14,1,0,1,0,0,0,0,0,Level 1,GOOD STANDING,41.88553,-87.766589,POINT (-87.766589 41.88553),2023
Augustus H Burley Elementary School,ES,60657,492,67,67,11,7,83,310,61,0,0,0,31,0,0,Level 1+,GOOD STANDING,41.937937,-87.669853,POINT (-87.669853 41.937937),2023
Irma C Ruiz Elementary School,ES,60608,431,330,89,163,10,410,7,1,0,0,0,1,2,0,Level 1,GOOD STANDING,41.848101,-87.680745,POINT (-87.680745 41.848101),2023
North Lawndale College Prep - Collins,HS,60623,418,396,76,2,405,8,1,0,1,0,0,0,0,3,Level 2+,NOT APPLICABLE,41.864146,-87.700681,POINT (-87.700681 41.864146),2023
Chicago High School for the Arts (ChiArts),HS,60622,598,311,56,24,203,233,98,7,3,0,0,11,2,41,Level 1,GOOD STANDING,41.899377,-87.694945,POINT (-87.694945 41.899377),2023
George F Cassell Elementary School,ES,60655,350,63,95,19,22,82,234,3,1,0,0,8,0,0,Level 1+,GOOD STANDING,41.687347,-87.703215,POINT (-87.703215 41.687347),2023
CICS - Lloyd Bond,ES,60827,254,188,28,0,237,6,0,0,0,0,0,0,0,11,Level 2+,NOT APPLICABLE,41.653663,-87.605039,POINT (-87.605039 41.653663),2023
Charles Kozminski Elementary Community Academy,ES,60615,260,163,43,30,212,17,10,18,1,0,0,2,0,0,Level 2+,PROVISIONAL SUPPORT,41.798002,-87.602481,POINT (-87.602481 41.798002),2023
Daniel Hale Williams Prep School of Medicine,HS,60615,71,65,13,1,69,1,0,0,0,0,0,1,0,0,Level 2,PROVISIONAL SUPPORT,41.806118,-87.62503,POINT (-87.62503 41.806118),2023
Noble - ITW David Speer Academy,HS,60639,1094,857,160,281,110,968,9,4,2,0,0,0,0,1,Level 1+,NOT APPLICABLE,41.92563,-87.769808,POINT (-87.769808 41.92563),2023
Mark Twain Elementary School,ES,60638,920,622,123,188,15,814,82,7,0,0,0,1,1,0,Level 1+,GOOD STANDING,41.799046,-87.758928,POINT (-87.758928 41.799046),2023
William Bishop Owen Scholastic Academy ES,ES,60652,265,144,30,1,259,4,0,0,0,0,0,2,0,0,Level 1,GOOD STANDING,41.74285,-87.705749,POINT (-87.705749 41.74285),2023
Everett McKinley Dirksen Elementary School,ES,60656,1096,637,105,703,31,151,722,180,2,0,0,9,1,0,Level 1+,GOOD STANDING,41.973715,-87.841041,POINT (-87.841041 41.973715),2023
Socorro Sandoval Elementary School,ES,60629,738,585,53,537,12,711,8,0,6,0,0,1,0,0,Level 1+,GOOD STANDING,41.792346,-87.710987,POINT (-87.710987 41.792346),2023
Robert Nathaniel Dett Elementary School,ES,60612,252,191,85,5,232,17,0,0,1,0,0,2,0,0,Level 2+,INTENSIVE SUPPORT,41.87987,-87.680315,POINT (-87.680315 41.87987),2023
YCCS-Austin Career Education Center HS,HS,60651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Level 1+,NOT APPLICABLE,41.894976,-87.760221,POINT (-87.760221 41.894976),2023
Avalon Park Elementary School,ES,60619,232,173,23,0,229,2,0,0,0,0,0,1,0,0,Level 2+,GOOD STANDING,41.748247,-87.591654,POINT (-87.591654 41.748247),2023
Wendell E Green Elementary School,ES,60643,304,230,89,2,298,4,0,0,0,0,0,2,0,0,Level 1,GOOD STANDING,41.719292,-87.6525,POINT (-87.6525 41.719292),2023
Lionel Hampton Fine & Performing Arts ES,ES,60652,464,373,79,137,214,241,5,0,3,0,0,1,0,0,Level 2+,GOOD STANDING,41.753457,-87.708731,POINT (-87.708731 41.753457),2023
Kate S Kellogg Elementary School,ES,60643,280,92,44,1,243,8,28,1,0,0,0,0,0,0,Level 1+,GOOD STANDING,41.725263,-87.677233,POINT (-87.677233 41.725263),2023
Richard Yates Elementary School,ES,60647,284,233,88,97,67,198,12,2,1,0,0,4,0,0,Level 2,INTENSIVE SUPPORT,41.915039,-87.70028,POINT (-87.70028 41.915039),2023
Charles G Hammond Elementary School,ES,60623,231,192,43,87,30,194,3,0,0,0,0,4,0,0,Level 1,GOOD STANDING,41.852719,-87.696243,POINT (-87.696243 41.852719),2023
Telpochcalli Elementary School,ES,60623,219,166,42,137,6,199,13,0,0,0,0,1,0,0,Level 1,GOOD STANDING,41.847947,-87.696006,POINT (-87.696006 41.847947),2023
Edward Coles Elementary Language Academy,ES,60617,265,194,36,11,251,12,0,0,0,0,0,2,0,0,Level 2,PROVISIONAL SUPPORT,41.741413,-87.56597,POINT (-87.56597 41.741413),2023
James Hedges Elementary School,ES,60609,480,377,87,323,9,465,5,1,0,0,0,0,0,0,Level 2,PROVISIONAL SUPPORT,41.807112,-87.673327,POINT (-87.673327 41.807112),2023
Legacy Charter School,ES,60623,447,378,65,5,419,22,3,1,1,0,0,1,0,0,Level 1,NOT APPLICABLE,41.856859,-87.730348,POINT (-87.730348 41.856859),2023
YCCS-Truman Middle College HS,HS,60640,172,125,23,37,46,91,10,16,4,0,0,3,0,2,Level 1,NOT APPLICABLE,41.965295,-87.659239,POINT (-87.659239 41.965295),2023
Stephen T Mather High School,HS,60659,1610,1270,262,584,238,774,213,347,7,0,0,26,5,0,Level 1,GOOD STANDING,41.987589,-87.702496,POINT (-87.702496 41.987589),2023
Ashburn Community Elementary School,ES,60652,355,267,65,33,286,64,2,1,1,0,0,1,0,0,Level 1,GOOD STANDING,41.742351,-87.70961,POINT (-87.70961 41.742351),2023
George Manierre Elementary School,ES,60610,251,208,37,1,241,9,0,0,0,0,0,1,0,0,Level 3,INTENSIVE SUPPORT,41.908247,-87.639827,POINT (-87.639827 41.908247),2023
James B Farnsworth Elementary School,ES,60630,486,256,140,199,21,211,171,70,1,0,0,12,0,0,Level 1,GOOD STANDING,41.97979,-87.766072,POINT (-87.766072 41.97979),2023
L.E.A.R.N. - Hunter Perkins Campus,ES,60620,463,352,40,1,453,7,1,0,0,0,0,1,0,1,Level 1+,NOT APPLICABLE,41.743122,-87.665721,POINT (-87.665721 41.743122),2023
Henry H Nash Elementary School,ES,60644,236,179,31,17,204,30,0,1,0,0,0,1,0,0,Level 3,INTENSIVE SUPPORT,41.89181,-87.747936,POINT (-87.747936 41.89181),2023
Ray Graham Training Center High School,HS,60616,238,219,238,100,89,128,7,9,2,0,0,2,1,0,Inability to Rate,GOOD STANDING,41.849675,-87.625315,POINT (-87.625315 41.849675),2023
Hanson Park Elementary School,ES,60639,1154,887,269,605,36,1093,13,1,6,0,0,4,1,0,Level 1,GOOD STANDING,41.923955,-87.761515,POINT (-87.761515 41.923955),2023
Eric Solorio Academy High School,HS,60632,1213,1097,143,295,12,1179,11,5,3,0,0,3,0,0,Level 1,GOOD STANDING,41.795201,-87.711059,POINT (-87.711059 41.795201),2023
Alfred Nobel Elementary School,ES,60651,582,454,81,273,85,488,6,0,2,0,0,1,0,0,Level 1,GOOD STANDING,41.906155,-87.729955,POINT (-87.729955 41.906155),2023
Charles S Deneen Elementary School,ES,60619,479,362,62,2,472,7,0,0,0,0,0,0,0,0,Level 1+,GOOD STANDING,41.76249,-87.623345,POINT (-87.623345 41.76249),2023
Erie Elementary Charter School,ES,60622,378,302,57,172,58,303,9,0,0,0,0,8,0,0,Level 1,NOT APPLICABLE,41.906771,-87.694364,POINT (-87.694364 41.906771),2023
Neal F Simeon Career Academy High School,HS,60620,1142,1043,170,8,1124,9,0,0,1,0,0,8,0,0,Level 2,PROVISIONAL SUPPORT,41.745781,-87.63541,POINT (-87.63541 41.745781),2023
Englewood STEM High School,HS,60621,781,677,182,45,703,72,2,1,0,0,0,3,0,0,Inability to Rate,GOOD STANDING,41.770251,-87.639061,POINT (-87.639061 41.770251),2023
Nicholas Senn High School,HS,60660,1508,1092,198,299,396,604,267,191,11,0,0,37,2,0,Level 1,GOOD STANDING,41.989029,-87.667136,POINT (-87.667136 41.989029),2023
Noble - Golder College Prep,HS,60642,643,508,97,155,145,474,14,2,2,0,0,4,1,1,Level 1+,NOT APPLICABLE,41.895282,-87.664483,POINT (-87.664483 41.895282),2023
YCCS-Latino Youth Alternative HS,HS,60608,120,93,20,35,7,111,1,1,0,0,0,0,0,0,Level 1,NOT APPLICABLE,41.854665,-87.69543,POINT (-87.69543 41.854665),2023
George M Pullman Elementary School,ES,60628,302,234,35,30,240,59,2,0,0,0,0,1,0,0,Level 2,PROVISIONAL SUPPORT,41.688819,-87.609431,POINT (-87.609431 41.688819),2023
Little Village Elementary School,ES,60623,609,513,80,346,1,606,1,0,1,0,0,0,0,0,Level 1,GOOD STANDING,41.843698,-87.717319,POINT (-87.717319 41.843698),2023
Dr. Martin L. King Jr Academy of Social Justice,ES,60621,242,209,31,2,231,8,1,0,1,0,0,1,0,0,Level 1,GOOD STANDING,41.765335,-87.641335,POINT (-87.641335 41.765335),2023
Columbia Explorers Elementary Academy,ES,60632,768,591,135,356,6,748,9,3,1,0,0,1,0,0,Level 1+,GOOD STANDING,41.811069,-87.704199,POINT (-87.704199 41.811069),2023
Salmon P Chase Elementary School,ES,60647,379,245,109,158,37,258,66,6,0,0,0,6,0,6,Level 1+,GOOD STANDING,41.917993,-87.694562,POINT (-87.694562 41.917993),2023
George Armstrong International Studies ES,ES,60645,1236,925,150,551,344,463,117,274,7,0,0,31,0,0,Level 1+,GOOD STANDING,42.01015,-87.684442,POINT (-87.684442 42.01015),2023
Oliver Wendell Holmes Elementary School,ES,60621,120,96,14,8,106,13,0,0,0,0,0,1,0,0,Level 1,GOOD STANDING,41.793788,-87.649795,POINT (-87.649795 41.793788),2023
Acero Charter Schools - Sandra Cisneros,ES,60632,408,340,63,245,1,402,5,0,0,0,0,0,0,0,Level 1,NOT APPLICABLE,41.822884,-87.693996,POINT (-87.693996 41.822884),2023
Dr Jorge Prieto Math and Science,ES,60639,743,625,120,419,22,710,4,2,3,0,0,2,0,0,Level 2+,GOOD STANDING,41.921318,-87.765781,POINT (-87.765781 41.921318),2023
William J Onahan Elementary School,ES,60631,659,180,115,56,16,194,399,23,4,0,0,22,0,1,Level 1,GOOD STANDING,41.99379,-87.793108,POINT (-87.793108 41.99379),2023
John Charles Haines Elementary School,ES,60616,527,398,22,166,67,18,2,438,1,0,0,1,0,0,Level 1+,GOOD STANDING,41.849958,-87.633806,POINT (-87.633806 41.849958),2023
Albert R Sabin Elementary Magnet School,ES,60622,313,231,29,78,65,234,11,0,0,0,0,3,0,0,Level 2,PROVISIONAL SUPPORT,41.906816,-87.68305,POINT (-87.68305 41.906816),2023
Joseph Warren Elementary School,ES,60617,250,201,41,5,248,2,0,0,0,0,0,0,0,0,Level 2+,GOOD STANDING,41.726763,-87.575353,POINT (-87.575353 41.726763),2023
Laura S Ward Elementary School,ES,60624,251,205,53,14,208,42,0,0,0,0,0,0,1,0,Level 1,GOOD STANDING,41.893236,-87.718797,POINT (-87.718797 41.893236),2023
Washington D Smyser Elementary School,ES,60634,751,444,92,184,20,493,184,40,5,0,0,4,0,5,Level 1,GOOD STANDING,41.958868,-87.781975,POINT (-87.781975 41.958868),2023
Arthur R Ashe Elementary School,ES,60619,363,258,41,2,357,3,0,1,0,0,0,1,1,0,Level 2+,GOOD STANDING,41.740184,-87.601174,POINT (-87.601174 41.740184),2023
Marcus Moziah Garvey Elementary School,ES,60643,238,202,23,0,234,3,0,0,0,0,0,1,0,0,Level 2,PROVISIONAL SUPPORT,41.706603,-87.647577,POINT (-87.647577 41.706603),2023
Ariel Elementary Community Academy,ES,60653,354,245,65,4,342,9,1,0,0,0,0,2,0,0,Level 2+,GOOD STANDING,41.811173,-87.597503,POINT (-87.597503 41.811173),2023
John F Eberhart Elementary School,ES,60629,1029,864,109,514,36,978,10,0,3,0,0,2,0,0,Level 2+,GOOD STANDING,41.77442,-87.707953,POINT (-87.707953 41.77442),2023
Burnside Elementary Scholastic Academy,ES,60619,308,226,58,1,302,5,0,0,0,0,0,1,0,0,Level 2+,GOOD STANDING,41.728481,-87.607435,POINT (-87.607435 41.728481),2023
Francisco I Madero Middle School,MS,60623,254,237,47,99,1,253,0,0,0,0,0,0,0,0,Level 1,GOOD STANDING,41.840957,-87.705064,POINT (-87.705064 41.840957),2023
Avondale-Logandale Elementary School,ES,60618,513,411,80,222,36,457,5,4,1,0,0,7,3,0,Level 2+,GOOD STANDING,41.93397,-87.708041,POINT (-87.708041 41.93397),2023
Asa Philip Randolph Elementary School,ES,60636,331,263,30,36,277,53,1,0,0,0,0,0,0,0,Level 2,PROVISIONAL SUPPORT,41.760614,-87.675966,POINT (-87.675966 41.760614),2023
Lake View High School,HS,60613,1335,1058,221,217,190,961,113,41,5,0,0,20,3,2,Level 2+,GOOD STANDING,41.954764,-87.668953,POINT (-87.668953 41.954764),2023
Velma F Thomas Early Childhood Center,ES,60609,135,41,48,75,6,106,4,12,1,0,0,6,0,0,Inability to Rate,GOOD STANDING,41.827775,-87.677542,POINT (-87.677542 41.827775),2023
Cyrus H McCormick Elementary School,ES,60623,445,339,78,217,3,433,8,0,0,0,0,1,0,0,Level 2+,GOOD STANDING,41.842267,-87.7063,POINT (-87.7063 41.842267),2023
CICS - Loomis Primary,ES,60643,352,216,18,0,343,2,0,0,0,0,0,2,0,5,Inability to Rate,NOT APPLICABLE,41.720246,-87.657561,POINT (-87.657561 41.720246),2023
George H Corliss High School,HS,60628,288,251,88,5,274,12,1,0,0,0,0,1,0,0,Level 2,INTENSIVE SUPPORT,41.70666,-87.601216,POINT (-87.601216 41.70666),2023
Henry D Lloyd Elementary School,ES,60639,842,626,122,503,17,806,10,0,4,0,0,5,0,0,Level 1+,GOOD STANDING,41.918814,-87.748515,POINT (-87.748515 41.918814),2023
Acero Charter Schools - Carlos Fuentes,ES,60618,401,338,58,202,5,393,2,0,0,0,0,0,1,0,Level 1,NOT APPLICABLE,41.937476,-87.699594,POINT (-87.699594 41.937476),2023
Frederick Stock Elementary School,ES,60631,236,24,98,41,1,61,151,16,0,0,0,7,0,0,Inability to Rate,GOOD STANDING,42.016892,-87.814195,POINT (-87.814195 42.016892),2023
Edward Tilden Career Community Academy HS,HS,60609,211,173,62,50,86,95,20,2,0,0,0,2,1,5,Level 2,INTENSIVE SUPPORT,41.80751,-87.642966,POINT (-87.642966 41.80751),2023
Walt Disney Magnet Elementary School,ES,60613,1448,821,130,226,737,298,204,135,8,0,0,64,2,0,Level 1+,GOOD STANDING,41.956816,-87.646083,POINT (-87.646083 41.956816),2023
Roald Amundsen High School,HS,60625,1488,609,244,146,115,642,545,106,6,0,0,70,4,0,Level 1+,GOOD STANDING,41.975067,-87.679484,POINT (-87.679484 41.975067),2023
DeVry University Advantage Academy HS,HS,60640,130,92,3,2,27,74,18,8,0,0,0,1,2,0,Level 1+,GOOD STANDING,41.941388,-87.690761,POINT (-87.690761 41.941388),2023
Wolfgang A Mozart Elementary School,ES,60647,487,399,92,292,31,440,14,1,1,0,0,0,0,0,Level 2+,GOOD STANDING,41.92091,-87.721888,POINT (-87.721888 41.92091),2023
Dunne Technology Academy,ES,60628,203,144,25,0,201,1,0,0,0,0,0,1,0,0,Level 1+,GOOD STANDING,41.696496,-87.639974,POINT (-87.639974 41.696496),2023
Christopher House Charter School,ES,60639,444,338,66,189,11,427,4,0,1,0,0,0,1,0,Level 1,NOT APPLICABLE,41.922181,-87.757522,POINT (-87.757522 41.922181),2023
Robert L Grimes Elementary School,ES,60638,389,269,50,143,11,348,29,0,0,0,0,1,0,0,Level 1,GOOD STANDING,41.775464,-87.758803,POINT (-87.758803 41.775464),2023
Frank W Reilly Elementary School,ES,60618,555,442,80,289,12,519,13,9,0,0,0,2,0,0,Level 1,GOOD STANDING,41.941094,-87.719541,POINT (-87.719541 41.941094),2023
Henry Clay Elementary School,ES,60633,548,414,63,178,98,400,33,1,0,0,0,14,0,2,Level 2+,GOOD STANDING,41.654558,-87.544614,POINT (-87.544614 41.654558),2023
Jesse Sherwood Elementary School,ES,60621,207,163,55,5,198,7,0,0,0,0,0,2,0,0,Level 1+,GOOD STANDING,41.7908,-87.632279,POINT (-87.632279 41.7908),2023
Moving Everest Charter School,ES,60644,770,650,81,13,733,34,0,0,0,0,0,1,0,2,Level 2+,NOT APPLICABLE,41.888259,-87.755281,POINT (-87.755281 41.888259),2023
Orville T Bright Elementary School,ES,60617,227,148,64,41,156,68,3,0,0,0,0,0,0,0,Level 2,PROVISIONAL SUPPORT,41.699726,-87.562084,POINT (-87.562084 41.699726),2023
Helge A Haugan Elementary School,ES,60625,889,681,176,593,32,748,52,46,3,0,0,7,0,1,Level 1,GOOD STANDING,41.964029,-87.723128,POINT (-87.723128 41.964029),2023
Noble - Hansberry College Prep,HS,60620,481,376,97,3,469,5,2,0,0,0,0,4,0,1,Level 2+,NOT APPLICABLE,41.734442,-87.650987,POINT (-87.650987 41.734442),2023
Perspectives - High School of Technology,HS,60620,347,295,51,2,339,5,0,1,0,0,0,1,0,1,Level 2+,NOT APPLICABLE,41.745949,-87.650657,POINT (-87.650657 41.745949),2023
James Weldon Johnson Elementary School,ES,60623,225,188,30,3,206,12,3,0,2,0,0,2,0,0,Level 2,PROVISIONAL SUPPORT,41.861836,-87.703139,POINT (-87.703139 41.861836),2023
Jane Addams Elementary School,ES,60617,559,403,62,240,19,520,20,0,0,0,0,0,0,0,Level 1,GOOD STANDING,41.698739,-87.532976,POINT (-87.532976 41.698739),2023
Richard J Daley Elementary Academy,ES,60609,479,405,54,280,44,430,4,0,1,0,0,0,0,0,Level 2+,GOOD STANDING,41.802343,-87.672206,POINT (-87.672206 41.802343),2023
Martha Ruggles Elementary School,ES,60619,321,243,38,0,308,9,2,1,0,0,0,1,0,0,Level 2,PROVISIONAL SUPPORT,41.751946,-87.618066,POINT (-87.618066 41.751946),2023
Ombudsman Chicago- Northwest,HS,60631,169,119,32,24,20,93,34,16,3,0,0,2,1,0,Level 2,NOT APPLICABLE,42.017171,-87.806682,POINT (-87.806682 42.017171),2023
Daniel S Wentworth Elementary School,ES,60636,401,316,85,19,366,35,0,0,0,0,0,0,0,0,Level 2,INTENSIVE SUPPORT,41.765076,-87.658205,POINT (-87.658205 41.765076),2023
Richard T Crane Medical Preparatory HS,HS,60612,306,276,33,5,263,39,2,0,0,0,0,1,1,0,Level 2+,GOOD STANDING,41.876947,-87.683301,POINT (-87.683301 41.876947),2023
James Shields Elementary School,ES,60632,469,360,66,213,4,456,9,0,0,0,0,0,0,0,Level 1+,GOOD STANDING,41.815909,-87.689647,POINT (-87.689647 41.815909),2023
Mary E Courtenay Elementary Language Arts Center,ES,60640,219,161,84,62,120,67,15,9,0,0,0,7,0,1,Level 2+,GOOD STANDING,41.962308,-87.663853,POINT (-87.663853 41.962308),2023
Dvorak Technology Academy,ES,60623,274,235,44,1,256,14,0,0,0,0,0,4,0,0,Level 2+,GOOD STANDING,41.858883,-87.715744,POINT (-87.715744 41.858883),2023
Jacob Beidler Elementary School,ES,60612,256,216,35,3,244,12,0,0,0,0,0,0,0,0,Level 1,GOOD STANDING,41.885321,-87.705855,POINT (-87.705855 41.885321),2023
YCCS-Sullivan House Alternative HS,HS,60617,306,275,49,2,281,21,1,0,0,0,0,3,0,0,Level 1+,NOT APPLICABLE,41.746287,-87.578492,POINT (-87.578492 41.746287),2023
Ogden International High School,HS,60642,488,344,47,29,231,176,57,10,2,0,0,11,1,0,Level 1,GOOD STANDING,41.893548,-87.659405,POINT (-87.659405 41.893548),2023
Northwest Middle School,MS,60639,491,423,89,253,16,461,9,2,2,0,0,1,0,0,Level 1,PROVISIONAL SUPPORT,41.920555,-87.757854,POINT (-87.757854 41.920555),2023
Edward E. Sadlowski Elementary School,ES,60617,635,466,145,290,33,583,16,0,1,0,0,2,0,0,Level 1+,GOOD STANDING,41.704859,-87.527985,POINT (-87.527985 41.704859),2023
Mildred I Lavizzo Elementary School,ES,60628,337,254,47,6,328,8,0,0,1,0,0,0,0,0,Level 1,GOOD STANDING,41.696262,-87.627148,POINT (-87.627148 41.696262),2023
Wilma Rudolph Elementary Learning Center,ES,60612,110,66,98,30,55,45,4,2,0,0,0,4,0,0,Inability to Rate,GOOD STANDING,41.883568,-87.669477,POINT (-87.669477 41.883568),2023
The Virtual Academy High School,HS,60608,150,87,89,30,50,68,25,6,0,0,0,1,0,0,,,41.8627144,-87.6601387,POINT (-87.6601387 41.8627144),2023
Josiah Pickard Elementary School,ES,60608,291,246,61,123,13,269,9,0,0,0,0,0,0,0,Level 1+,GOOD STANDING,41.8529,-87.683291,POINT (-87.683291 41.8529),2023
Chicago High School for Agricultural Sciences,HS,60655,780,392,173,21,395,169,201,4,0,0,0,8,3,0,Level 1,GOOD STANDING,41.691221,-87.71777,POINT (-87.71777 41.691221),2023
Frank W Gunsaulus Elementary Scholastic Academy,ES,60632,652,506,66,266,14,602,10,19,0,0,0,4,0,3,Level 1,GOOD STANDING,41.813007,-87.699364,POINT (-87.699364 41.813007),2023
Chicago Vocational Career Academy High School,HS,60617,647,532,207,14,623,16,2,0,0,0,0,1,0,5,Level 2,PROVISIONAL SUPPORT,41.737174,-87.573268,POINT (-87.573268 41.737174),2023
Pilsen Elementary Community Academy,ES,60608,216,171,41,109,23,189,2,0,1,0,0,1,0,0,Level 2+,GOOD STANDING,41.858849,-87.662209,POINT (-87.662209 41.858849),2023
Elizabeth H Sutherland Elementary School,ES,60643,567,175,75,4,295,66,178,2,2,0,0,24,0,0,Level 1+,GOOD STANDING,41.711445,-87.676821,POINT (-87.676821 41.711445),2023
Hyman G Rickover Naval Academy High School,HS,60634,457,323,76,91,20,355,64,11,0,0,0,7,0,0,Level 1,GOOD STANDING,41.957599,-87.769938,POINT (-87.769938 41.957599),2023
Ellen H Richards Career Academy High School,HS,60609,273,236,61,96,113,144,1,0,2,0,0,0,0,13,Level 2,INTENSIVE SUPPORT,41.802881,-87.662278,POINT (-87.662278 41.802881),2023
Acero Charter Schools - Esmeralda Santiago,ES,60622,220,188,39,106,12,202,5,1,0,0,0,0,0,0,Level 1,NOT APPLICABLE,41.900344,-87.689896,POINT (-87.689896 41.900344),2023
Art in Motion Charter School,HS,60649,554,397,92,3,519,19,0,0,1,0,0,4,0,11,Inability to Rate,GOOD STANDING,41.760034,-87.583328,POINT (-87.583328 41.760034),2023
Stephen K Hayt Elementary School,ES,60660,877,618,144,452,172,374,79,216,9,0,0,25,2,0,Level 1,GOOD STANDING,41.994541,-87.668504,POINT (-87.668504 41.994541),2023
Milton Brunson Math & Science Specialty ES,ES,60651,425,297,81,40,355,65,2,0,2,0,0,0,1,0,Level 2,PROVISIONAL SUPPORT,41.897663,-87.765606,POINT (-87.765606 41.897663),2023
L.E.A.R.N. Charter School - 7th Campus,ES,60612,170,130,23,1,161,6,0,0,1,0,0,2,0,0,Level 2,NOT APPLICABLE,41.88741,-87.701397,POINT (-87.701397 41.88741),2023
Mary Lyon Elementary School,ES,60634,1053,820,121,526,12,946,60,22,6,0,0,2,5,0,Level 1+,GOOD STANDING,41.934192,-87.777174,POINT (-87.777174 41.934192),2023
ASPIRA Charter School - Early College High School,HS,60618,262,226,65,138,11,251,0,0,0,0,0,0,0,0,Level 2+,NOT APPLICABLE,41.937298,-87.727096,POINT (-87.727096 41.937298),2023
Anna R. Langford Community Academy,ES,60636,184,162,23,12,159,24,1,0,0,0,0,0,0,0,Level 2,INTENSIVE SUPPORT,41.784681,-87.657169,POINT (-87.657169 41.784681),2023
South Shore Intl College Prep High School,HS,60649,508,387,57,7,487,17,0,1,1,0,0,1,0,1,Level 2+,GOOD STANDING,41.758792,-87.576353,POINT (-87.576353 41.758792),2023
Charles N Holden Elementary School,ES,60608,401,286,49,101,45,215,70,62,0,0,0,9,0,0,Level 1+,GOOD STANDING,41.838027,-87.653792,POINT (-87.653792 41.838027),2023
Perkins Bass Elementary School,ES,60621,348,291,46,9,334,13,1,0,0,0,0,0,0,0,Level 2+,GOOD STANDING,41.774246,-87.653532,POINT (-87.653532 41.774246),2023
James N Thorp Elementary School,ES,60617,274,230,83,36,218,52,2,0,1,0,0,1,0,0,Level 2+,GOOD STANDING,41.733324,-87.54428,POINT (-87.54428 41.733324),2023
Stephen F Gale Elementary Community Academy,ES,60626,229,173,68,63,150,49,16,7,0,0,0,7,0,0,Level 3,INTENSIVE SUPPORT,42.021091,-87.671939,POINT (-87.671939 42.021091),2023
Edward Beasley Elementary Magnet Academic Center,ES,60609,1046,681,99,4,1012,16,0,0,2,0,0,4,2,10,Level 1,GOOD STANDING,41.798465,-87.625692,POINT (-87.625692 41.798465),2023
Roswell B Mason Elementary School,ES,60623,219,186,43,1,213,6,0,0,0,0,0,0,0,0,Level 2,PROVISIONAL SUPPORT,41.856864,-87.731672,POINT (-87.731672 41.856864),2023
Adam Clayton Powell Paideia Community Academy ES,ES,60649,556,434,67,25,535,15,1,0,0,0,0,5,0,0,Level 2+,GOOD STANDING,41.760332,-87.556789,POINT (-87.556789 41.760332),2023
Eli Whitney Elementary School,ES,60623,592,488,44,305,1,587,4,0,0,0,0,0,0,0,Level 1,GOOD STANDING,41.84008,-87.725546,POINT (-87.725546 41.84008),2023
Robert A Black Magnet Elementary School,ES,60617,388,258,39,3,378,8,0,0,0,0,0,2,0,0,Level 1+,GOOD STANDING,41.729692,-87.576643,POINT (-87.576643 41.729692),2023
Fernwood Elementary School,ES,60628,268,215,28,1,263,4,0,0,0,0,0,1,0,0,Level 1,GOOD STANDING,41.711184,-87.640414,POINT (-87.640414 41.711184),2023
Donald Morrill Math & Science Elementary School,ES,60629,504,413,63,244,145,353,4,0,2,0,0,0,0,0,Level 2+,PROVISIONAL SUPPORT,41.784313,-87.688549,POINT (-87.688549 41.784313),2023
Austin College and Career Academy High School,HS,60644,176,144,45,3,168,7,1,0,0,0,0,0,0,0,Level 2,INTENSIVE SUPPORT,41.885993,-87.761916,POINT (-87.761916 41.885993),2023
Jane A Neil Elementary School,ES,60619,250,195,90,8,239,6,3,1,0,0,0,1,0,0,Level 2,PROVISIONAL SUPPORT,41.738407,-87.620933,POINT (-87.620933 41.738407),2023
John H Vanderpoel Elementary Magnet School,ES,60643,239,133,28,0,234,3,0,0,0,0,0,2,0,0,Level 1,GOOD STANDING,41.720817,-87.665559,POINT (-87.665559 41.720817),2023
Norwood Park Elementary School,ES,60631,338,44,53,35,1,122,185,14,0,0,0,16,0,0,Level 1+,GOOD STANDING,41.988153,-87.802979,POINT (-87.802979 41.988153),2023
Charles P Steinmetz College Preparatory HS,HS,60634,1131,888,201,379,186,860,62,12,5,0,0,1,4,1,Level 2,PROVISIONAL SUPPORT,41.935634,-87.783515,POINT (-87.783515 41.935634),2023
Noble - Gary Comer College Prep,HS,60619,1020,770,149,14,979,23,1,0,1,0,0,14,0,2,Level 1,NOT APPLICABLE,41.764083,-87.601974,POINT (-87.601974 41.764083),2023
